 fps,p_rad,days_r,dm,d_t_d,d_prob,h_i_t,vac_p,inf_p,i_rad,pop,t_inf,n_inf,imm,sus,dec,frames
 500, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 121, 1, 0, 88, 33, 0, 80
 500, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 121, 1, 0, 89, 32, 0, 80
 500, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 121, 1, 0, 84, 37, 0, 80
 500, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 121, 1, 0, 83, 38, 0, 80
 500, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 121, 2, 0, 85, 36, 0, 119
 500, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 121, 1, 0, 80, 41, 0, 80
 500, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 121, 1, 0, 79, 42, 0, 80
 500, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 121, 1, 0, 80, 41, 0, 80
 500, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 121, 1, 0, 72, 49, 0, 80
 500, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 121, 1, 0, 88, 33, 0, 80
 500, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 121, 1, 0, 88, 33, 0, 80
 500, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 121, 1, 0, 78, 43, 0, 80
 500, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 121, 1, 0, 91, 30, 0, 80
 500, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 121, 1, 0, 91, 30, 0, 80
 500, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 121, 1, 0, 92, 28, 1, 73
 500, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 121, 1, 0, 82, 39, 0, 80
 500, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 121, 1, 0, 86, 35, 0, 80
 500, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 121, 2, 0, 90, 31, 0, 116
 500, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 121, 1, 0, 84, 37, 0, 80
 500, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 121, 1, 0, 88, 33, 0, 80
 500, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 121, 1, 0, 85, 36, 0, 80
 500, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 121, 1, 0, 88, 33, 0, 80
 500, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 121, 1, 0, 89, 32, 0, 80
 500, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 121, 1, 0, 82, 38, 1, 38
 500, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 121, 1, 0, 87, 34, 0, 80
 500, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 123, 1, 0, 88, 34, 1, 24
 500, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 123, 1, 0, 92, 31, 0, 80
